district,municipaly,year,week,outlier_score
Innsbruck-Land,Obernberg am Brenner,2020,7,0.05289553850889206
Schwaz,Jenbach,2020,8,0.05289553850889206
Schwaz,Zellberg,2020,9,0.05289553850889206
Schwaz,Kaltenbach,2020,10,0.05289553850889206
Kufstein,Ebbs,2020,11,0.05289553850889206
Kufstein,Rattenberg,2020,12,0.05289553850889206
Lienz,Thurn,2020,13,0.05289553850889206
Lienz,Kartitsch,2020,14,0.05289553850889206
Kitzbühel,Waidring,2020,4,0.05289553850889206
Imst,Imst,2020,5,0.05289553850889206
Imst,Mötz,2020,6,0.05289553850889206
Reutte,Höfen,2020,2,0.05289553850889206
Reutte,Forchach,2020,3,0.05289553850889206
Landeck,Zams,2020,7,0.05289553850889206
Landeck,Kaunertal,2020,8,0.05289553850889206
Innsbruck-Land,St. Sigmund im Sellrain,2020,9,0.05289553850889206
Innsbruck-Land,Birgitz,2020,10,0.05289553850889206
Innsbruck-Land,Fritzens,2020,11,0.05289553850889206
Innsbruck-Land,Obernberg am Brenner,2020,12,0.05289553850889206
Schwaz,Jenbach,2020,13,0.05289553850889206
Schwaz,Zellberg,2020,14,0.05289553850889206
Schwaz,Kaltenbach,2020,15,0.05289553850889206
Kufstein,Ebbs,2020,16,0.05289553850889206
Kufstein,Rattenberg,2020,17,0.05289553850889206
Lienz,Sillian,2020,1,0.05289553850889206
Lienz,Anras,2020,2,0.05289553850889206
Kitzbühel,Waidring,2020,1,0.05289553850889206
Imst,Imst,2020,2,0.05289553850889206
Imst,Mötz,2020,3,0.05289553850889206
Reutte,Breitenwang,2020,16,0.05289553850889206
Reutte,Elmen,2020,17,0.05289553850889206
Landeck,Zams,2020,4,0.05289553850889206
Landeck,Kaunertal,2020,5,0.05289553850889206
Innsbruck-Land,St. Sigmund im Sellrain,2020,6,0.05289553850889206
Innsbruck-Land,Birgitz,2020,7,0.05289553850889206
Innsbruck-Land,Fritzens,2020,8,0.05289553850889206
Innsbruck-Land,Obernberg am Brenner,2020,9,0.05289553850889206
Schwaz,Jenbach,2020,10,0.05289553850889206
Schwaz,Zellberg,2020,11,0.05289553850889206
Schwaz,Kaltenbach,2020,12,0.05289553850889206
Kufstein,Ebbs,2020,13,0.05289553850889206
Kufstein,Rattenberg,2020,14,0.05289553850889206
Lienz,Thurn,2020,15,0.05289553850889206
Lienz,Kartitsch,2020,16,0.05289553850889206
Kitzbühel,Waidring,2020,2,0.05289553850889206
Imst,Imst,2020,3,0.05289553850889206
Imst,Mötz,2020,4,0.05289553850889206
Reutte,Breitenwang,2020,17,0.05289553850889206
Reutte,Forchach,2020,1,0.05289553850889206
Landeck,Zams,2020,5,0.05289553850889206
Landeck,Kaunertal,2020,6,0.05289553850889206
Innsbruck-Land,St. Sigmund im Sellrain,2020,7,0.05289553850889206
Innsbruck-Land,Birgitz,2020,8,0.05289553850889206
Innsbruck-Land,Fritzens,2020,9,0.05289553850889206
Innsbruck-Land,Obernberg am Brenner,2020,10,0.05289553850889206
Schwaz,Jenbach,2020,11,0.05289553850889206
Schwaz,Zellberg,2020,12,0.05289553850889206
Schwaz,Kaltenbach,2020,13,0.05289553850889206
Kufstein,Ebbs,2020,14,0.7735317349433899
Kufstein,Rattenberg,2020,15,0.05289553850889206
Lienz,Thurn,2020,16,0.05289553850889206
Lienz,Kartitsch,2020,17,0.05289553850889206
Kitzbühel,Waidring,2020,3,0.05289553850889206
Imst,Imst,2020,4,0.05289553850889206
Imst,Mötz,2020,5,0.05289553850889206
Reutte,Höfen,2020,1,0.05289553850889206
Reutte,Forchach,2020,2,0.05289553850889206
Landeck,Zams,2020,6,0.05289553850889206
Landeck,Kaunertal,2020,7,0.7735317349433899
Innsbruck-Land,St. Sigmund im Sellrain,2020,8,0.05289553850889206
Innsbruck-Land,Birgitz,2020,9,0.05289553850889206
Innsbruck-Land,Fritzens,2020,10,0.05289553850889206
Innsbruck-Land,Obernberg am Brenner,2020,11,0.05289553850889206
Schwaz,Jenbach,2020,12,0.995023250579834
Schwaz,Zellberg,2020,13,0.9986892938613892
Schwaz,Kaltenbach,2020,14,0.05289553850889206
Kufstein,Ebbs,2020,15,0.05289553850889206
Kufstein,Rattenberg,2020,16,0.05289553850889206
Lienz,Thurn,2020,17,0.05289553850889206
Lienz,Anras,2020,1,0.05289553850889206
Kitzbühel,Waidring,2020,8,0.7735317349433899
Imst,Imst,2020,9,0.7735317349433899
Imst,Mötz,2020,10,0.05289553850889206
Reutte,Höfen,2020,6,0.05289553850889206
Reutte,Forchach,2020,7,0.05289553850889206
Landeck,Zams,2020,11,0.05289553850889206
Landeck,Kaunertal,2020,12,0.05289553850889206
Innsbruck-Land,St. Sigmund im Sellrain,2020,13,0.05289553850889206
Innsbruck-Land,Birgitz,2020,14,0.05289553850889206
Innsbruck-Land,Fritzens,2020,15,0.05289553850889206
Innsbruck-Land,Obernberg am Brenner,2020,16,0.05289553850889206
Schwaz,Jenbach,2020,17,0.05289553850889206
Schwaz,Hippach,2020,1,0.94005286693573
Schwaz,Gerlosberg,2020,2,0.05289553850889206
Kufstein,Langkampfen,2020,3,0.05289553850889206
Kufstein,Mariastein,2020,4,0.05289553850889206
Lienz,Sillian,2020,5,0.05289553850889206
Lienz,Anras,2020,6,0.7735317349433899
Kitzbühel,Waidring,2020,5,0.05289553850889206
Imst,Imst,2020,6,0.05289553850889206
Imst,Mötz,2020,7,0.05289553850889206
Reutte,Höfen,2020,3,0.05289553850889206
Reutte,Forchach,2020,4,0.05289553850889206
Landeck,Zams,2020,8,0.05289553850889206
Landeck,Kaunertal,2020,9,0.05289553850889206
Innsbruck-Land,St. Sigmund im Sellrain,2020,10,0.05289553850889206
Innsbruck-Land,Birgitz,2020,11,0.05289553850889206
Innsbruck-Land,Fritzens,2020,12,0.05289553850889206
Innsbruck-Land,Obernberg am Brenner,2020,13,0.05289553850889206
Schwaz,Jenbach,2020,14,0.05289553850889206
Schwaz,Zellberg,2020,15,0.05289553850889206
Schwaz,Kaltenbach,2020,16,0.05289553850889206
Kufstein,Ebbs,2020,17,0.05289553850889206
Kufstein,Mariastein,2020,1,0.05289553850889206
Lienz,Sillian,2020,2,0.05289553850889206
Lienz,Anras,2020,3,0.05289553850889206
Kitzbühel,Waidring,2020,6,0.05289553850889206
Imst,Imst,2020,7,0.05289553850889206
Imst,Mötz,2020,8,0.05289553850889206
Reutte,Höfen,2020,4,0.05289553850889206
Reutte,Forchach,2020,5,0.05289553850889206
Landeck,Zams,2020,9,0.05289553850889206
Landeck,Kaunertal,2020,10,0.05289553850889206
Innsbruck-Land,St. Sigmund im Sellrain,2020,11,0.05289553850889206
Innsbruck-Land,Birgitz,2020,12,0.05289553850889206
Innsbruck-Land,Fritzens,2020,13,0.05289553850889206
Innsbruck-Land,Obernberg am Brenner,2020,14,0.05289553850889206
Schwaz,Jenbach,2020,15,0.995023250579834
Schwaz,Zellberg,2020,16,0.05289553850889206
Schwaz,Kaltenbach,2020,17,0.05289553850889206
Kufstein,Langkampfen,2020,1,0.05289553850889206
Kufstein,Mariastein,2020,2,0.05289553850889206
Lienz,Sillian,2020,3,0.05289553850889206
Lienz,Anras,2020,4,0.05289553850889206
Kitzbühel,Waidring,2020,7,0.05289553850889206
Imst,Imst,2020,8,0.05289553850889206
Imst,Mötz,2020,9,0.05289553850889206
Reutte,Höfen,2020,5,0.05289553850889206
Reutte,Forchach,2020,6,0.05289553850889206
Landeck,Zams,2020,10,0.05289553850889206
Landeck,Kaunertal,2020,11,0.05289553850889206
